Name,,RAJ2000,DEJ2000,VLSR,e_VLSR,VGSR,Vdev,FWHM,TbFit
G038.7-37.3-241,,21 15 48.32,-11 50 19,-241.4,1,-131.9,-203.9,12.2,0.87
G038.8-33.2-261,,21 01 03.36,-10 00 23,-261,1,-145.6,-223.5,20.7,0.94
G043.4-30.4-230,,20 58 09.18,-05 16 07,-230.7,1,-100.4,-193.2,22.9,0.64
G089.0-64.7-311,,23 56 11.31,-05 36 13,-311.7,1,-217.9,-274.2,18.9,0.5
G133.5-75.6-294,,01 02 11.56,-13 00 21,-294.1,1.8,-254.6,-261.6,26.8,0.42
G248.9+36.8+181,,10 08 09.38,-08 21 50,181.6,4.6,17.3,139.1,22.4,0.13
G261.5-34.5+237,,05 22 03.94,-53 57 52,237,2.7,57.8,194.5,26.6,0.28
G262.4-26.2+143,,06 19 11.01,-54 00 25,143.6,1.9,-52,101.1,19.5,0.28
G264.6-53.3+224,,03 17 32.52,-51 33 15,224.2,2.2,93.3,186.7,22.6,0.28
G267.1-38.4+263,,04 51 25.06,-58 06 39,263.9,11.5,91.9,226.4,30,0.07
G271.6-48.4+297,,03 32 17.39,-57 45 07,297,1.1,151.1,259.5,21.5,0.53
G271.7-53.1+254,,03 03 24.54,-55 14 30,254.3,2.6,122.4,216.8,26.4,0.28
G323.0+25.6+122,,14 18 59.71,-33 43 42,122.2,1.3,3.1,84.7,20.8,0.43
