Name,RAJ2000,DEJ2000,VLSR,e_VLSR,VGSR,Vdev,FWHM,TbFit,NH,e_NH,Area,dx,dy,Flag,HI,WW91,Simbad,recno,Cat
G038.7-37.3-241,21 15 48.32,-11 50 19,-241.4,1.0,-131.9,-203.9,12.2,0.87,3.00E+19,1.00E+18,1.5,4.2,3.0,T; H6,HVC 038.9-37.1-230,GCN-GCN; EN; MS-MS,Simbad,329,GHVC
G038.8-33.2-261,21 01 03.36,-10 00 23,-261,1.0,-145.6,-223.5,20.7,0.94,4.00E+19,2.00E+18,2.2,4.9,3.9,T; H8,HVC 039.0-33.4-256,GCN-GCN; EN; MS-MS,Simbad,330,GHVC
G043.4-30.4-230,20 58 09.18,-05 16 07,-230.7,1.0,-100.4,-193.2,22.9,0.64,3.00E+19,2.00E+18,1.6,3.4,3.0,H1,HVC 043.1-30.0-218,GCN-GCN; EN; N; MS-MS,Simbad,354,GHVC
G089.0-64.7-311,23 56 11.31,-05 36 13,-311.7,1.0,-217.9,-274.2,18.9,0.5,2.00E+19,2.00E+18,1.4,3.4,3.1,H3,HVC 089.4-64.7-314,EN; MS-MS,Simbad,408,GHVC
G133.5-75.6-294,01 02 11.56,-13 00 21,-294.1,1.8,-254.6,-261.6,26.8,0.42,2.00E+19,3.00E+18,1.3,4.2,1.4,H2,HVC 131.9-75.8-302,EN; MS-MS,Simbad,427,GHVC
G248.9+36.8+181,10 08 09.38,-08 21 50,181.6,4.6,17.3,139.1,22.4,0.13,1.00E+19,2.00E+18,1.1,2.1,1.6,,,WA; P; EP,Simbad,588,GHVC
G261.5-34.5+237,05 22 03.94,-53 57 52,237,2.7,57.8,194.5,26.6,0.28,6.00E+18,3.00E+18,1.5,2.6,2.0,H1,HVC 261.5-34.6+237,P; MS-MS; EP,Simbad,722,GHVC
G262.4-26.2+143,06 19 11.01,-54 00 25,143.6,1.9,-52,101.1,19.5,0.28,1.00E+19,2.00E+18,1.6,3.1,2.6,H1,HVC 261.8-26.0+148,P; MS-MS,Simbad,729,GHVC
G264.6-53.3+224,03 17 32.52,-51 33 15,224.2,2.2,93.3,186.7,22.6,0.28,1.00E+19,2.00E+18,1.7,2.6,2.7,H4,CHVC 264.8-53.3+222,P; MS-MS,Simbad,749,GHVC
G267.1-38.4+263,04 51 25.06,-58 06 39,263.9,11.5,91.9,226.4,30,0.07,9.00E+18,3.00E+18,1.9,3.0,3.0,H1,,MS-MS; EP,Simbad,780,GHVC
G271.6-48.4+297,03 32 17.39,-57 45 07,297,1.1,151.1,259.5,21.5,0.53,2.00E+19,2.00E+18,1.8,2.1,4.6,H4,HVC 271.2-48.6+299,MS-MS,Simbad,827,GHVC
G271.7-53.1+254,03 03 24.54,-55 14 30,254.3,2.6,122.4,216.8,26.4,0.28,1.00E+19,3.00E+18,1.2,2.2,1.8,,,MS-MS,Simbad,831,GHVC
G323.0+25.6+122,14 18 59.71,-33 43 42,122.2,1.3,3.1,84.7,20.8,0.43,2.00E+19,2.00E+18,1.4,2.1,2.4,H1,HVC 323.1+25.6+121,P,Simbad,1402,GHVC
