Name, Statistic, p_value, Statistic_x, Statistic_sgn, Statistic_diff, Significant, Sigma[meas], Sigma[obsv], Sigma[true], Sigma[diff], FWHM
G038.7-37.3-241, 0.2074738871132492, 3.5194997048780594e-09, -3.515687526708854, -1, 2.5503785393572116, True, 1.5490103064419392, 3.259633374868092, 2.8680615072014404, -1.2004037875138898, -2.82673490096878
G038.8-33.2-261, 0.31066825775656326, 1.3943532792837091e-08, -0.6963302660734451, -1, 1.245611675868496, True, 1.0172162310775188, 2.2736826533710723, 2.033446322742001, -0.3820916381721009, -0.8997570486063758
G043.4-30.4-230, 0.24109469074986317, 3.606854288675973e-11, -1.2589038059025925, -1, 2.2846397376409495, True, 1.3692498776485982, 3.4139391636197307, 3.1273207998949974, -0.3219533860094135, -0.7581422869405536
G261.5-34.5+237, 0.2889454915944982, 5.960798790546759e-08, -5.487954609053061, -1, 7.064597943499491, True, 8.363070544185819, 12.507923833010205, 9.300925205879048, 5.8850039182248, 13.858125191721438
G262.4-26.2+143, 0.21329644533869885, 1.2224926075128765e-06, 2.0255699650566523, -1, 5.008552948039634, True, 5.0791565705667105, 9.744382180123484, 8.315957708164293, -11.277167064796421, -26.555699055345446
G264.6-53.3+224, 0.3195887445887446, 4.0730287570954555e-05, 0.9062634882158793, 1, -2.1167595348071426, True, 3.023390368905306, 4.983729795251348, 3.9619027435421326, 0.16014564072012671, 0.377114164892079
G267.1-38.4+263, 0.3428488020518381, 2.318648482161409e-11, 12.715164074377505, -1, 9.411860771074203, True, 6.459354538810761, 13.975229335809928, 12.392892072895142, 3.764226145036, 8.86407518036035
G271.6-48.4+297, 0.12493061782161308, 5.0905622111774864e-05, 0.6348560731135152, -1, 0.5747960130534552, True, 1.656313599761247, 3.0167700520864895, 2.5214136523807156, 0.14031802939919347, 0.33042370830846285
G271.7-53.1+254, 0.22697520500279825, 0.0003403465863955054, 0.11625707523884121, 1, -2.3862454272636606, True, 3.238101358605643, 6.206104031068475, 5.294376907232867, -0.6047436349837891, -1.4240624337647063
G282.3-38.3+117, 0.277823006349348, 8.58037227199818e-27, -1.2426193078764725, 1, -3.4648415300986937, True, 4.440559986447358, 6.711461315863094, 5.032408966001214, -1.9662738656700256, -4.630221112900268
