Name, Statistic, p_value, Statistic_x, Statistic_sgn, Statistic_diff, Significant, Sigma[meas], Sigma[obsv], Sigma[true], Sigma[diff], FWHM, Average[inner], Average[outer], Average[diff], AvgUnc[inner], AvgUnc[outer], AvgUnc[diff], KSunc, Sigmaunc
G038.7-37.3-241,0.207473887,3.52E-09,-3.515687527,-1,2.55, True,1.549010306,3.259633375,2.868061507,1.20,-2.826734901,-1.350619418,-2.560210572,1.21,0.007003853,0.003294047,0.008,2.182,0.396
G038.8-33.2-261,0.310668258,1.39E-08,-0.696330266,-1,1.25, True,1.017216231,2.273682653,2.033446323,0.38,-0.899757049,-0.056445222,-1.199161117,1.14,0.010148843,0.000639811,0.010,1.455,0.325
G043.4-30.4-230,0.241094691,3.61E-11,-1.258903806,-1,2.28, True,1.369249878,3.413939164,3.1273208,0.32,-0.758142287,1.500776661,0.05207364,1.45,0.007129552,0.002050089,0.007,2.014,0.204
G261.5-34.5+237,0.288945492,5.96E-08,-5.487954609,-1,7.06, True,8.363070544,12.50792383,9.300925206,5.89,13.85812519,-3.620108937,-7.837450118,4.22,0.468691529,0.139394023,0.489,11.798,1.512
G262.4-26.2+143,0.213296445,1.22E-06,2.025569965,-1,5.01, True,5.079156571,9.74438218,8.315957708,11.28,-26.55569906,4.020640016,0.17353602,3.85,0.117085861,0.042475965,0.125,7.193,8.325
G264.6-53.3+224,0.319588745,4.07E-05,0.906263488,1,2.12, True,3.023390369,4.983729795,3.961902744,0.16,0.377114165,0.821075886,2.499888949,1.68,0.161762197,0.013152604,0.162,4.270,1.632
G267.1-38.4+263,0.342848802,2.32E-11,12.71516407,-1,9.41, True,6.459354539,13.97522934,12.39289207,3.76,8.86407518,3.935691121,0.596772585,3.34,0.278568455,0.034675044,0.281,8.558,1.662
G271.6-48.4+297,0.124930618,5.09E-05,0.634856073,-1,0.57, True,1.6563136,3.016770052,2.521413652,0.14,0.330423708,1.043894951,0.950681707,0.09,0.004907415,0.00333242,0.006,2.361,0.303
G271.7-53.1+254,0.226975205,0.000340347,0.116257075,1,2.39, True,3.238101359,6.206104031,5.294376907,0.60,-1.424062434,1.455209777,1.95957383,0.50,0.096986784,0.025277843,0.100,4.606,1.127
G282.3-38.3+117,0.277823006,8.58E-27,-1.242619308,1,3.46, True,4.440559986,6.711461316,5.032408966,1.97,-4.630221113,-3.592531292,-0.914885382,2.68,0.039651395,0.007828831,0.040,6.279,0.460
