Name, Significant," ""Sigma [diff]""", KS-EDF," ""KS-EDF Unc"""," ""Var. Sub."""," ""Var. Sub. Unc"""," ""Wgt. Mean"""," ""Wgt. Mean Unc"""
G038.7-37.3-241, True,-7.555935607,2.56,1.88,1.15,1.12,1.17,1.07
G038.8-33.2-261, True,-3.648584508,1.25,1.26,0.36,0.75,1.13,0.70
G043.4-30.4-230, True,-2.35905792,2.30,1.75,0.31,0.93,1.61,0.93
G133.5-75.6-294, True,-6.84765827,1.79,1.54,1.24,1.29,0.76,1.27
G261.5-34.5+237, True,6.542074154,7.08,8.70,3.88,4.55,3.39,4.39
G262.4-26.2+143, True,-28.76785786,5.01,6.13,10.93,8.64,3.94,2.77
G264.6-53.3+224, True,0.358501945,2.12,3.44,0.11,2.58,2.18,2.26
G267.1-38.4+263, True,8.787618562,9.41,6.69,3.84,3.73,3.48,3.29
G271.6-48.4+297, True,0.729889388,0.59,1.98,0.13,1.24,0.08,1.21
G271.7-53.1+254, True,-1.78803844,2.40,3.60,0.57,2.43,0.02,2.22
