Name, Statistic, p_value, Statistic_x, Statistic_sgn, Significant
G038.7-37.3-241, 0.19841675178753831, 1.9788311617016407e-08, -48.31045775507575, -1, True
G038.8-33.2-261, 0.516038186157518, 8.686804290103344e-24, -25.295395804898064, -1, True
G043.4-30.4-230, 0.1740448823207444, 5.199289943964793e-06, -37.38566203965606, -1, True
G089.0-64.7-311, 0.4985768500948767, 0.00029622576755574596, -13.181884657734294, 1, True
G133.5-75.6-294, 0.4854406130268199, 6.343432667923619e-09, -0.8346849774412012, -1, True
G248.9+36.8+181, 0.11015546015326232, 0.13217051509596886, -13.483131565296063, 1, False
G261.5-34.5+237, 0.324265579894719, 6.27582992213733e-10, 28.17318221194263, -1, True
G262.4-26.2+143, 0.22064050972501675, 4.4752203087957477e-07, 44.88647927358185, -1, True
G264.6-53.3+224, 0.3463203463203463, 6.040575714360223e-06, 22.555807769859282, 1, True
G267.1-38.4+263, 0.34753007902913025, 1.1434854610528056e-11, 65.01482050692674, -1, True
G271.6-48.4+297, 0.1550510225865676, 1.6881199858567663e-07, 37.40999607075682, 1, True
G271.7-53.1+254, 0.24576003114582573, 7.624079166547367e-05, 20.910290086916106, 1, True
G323.0+25.6+122, 0.18690005646527386, 4.786064029340545e-08, -20.943696983882294, -1, True
